Unnamed: 0,st,ax,ay,az,gx,gy,gz,mx,my,mz,AccTotal,GyrTotal,MagTotal,lat,lng
174500,174500.0,1.6990967000000001,-9.229614,0.8605193999999999,0.30474854,0.37812805,0.18089294,-24.654387699999997,55.3318786,-141.7469755,9.424075435963108,0.5182419807105342,154.14825830199376,35.10624999999952,25.714583333333398
174600,174600.0,2.3802338,-9.421158,-0.074417114,0.37825012,0.30355835,0.5121918,-21.98211695,54.4465637,-143.378524,9.717472351927867,0.7053802273398205,154.936070249487,35.08799999999952,25.780444444444512
174700,174700.0,1.9624481,-9.879653999999999,0.7024994000000001,0.12898254,0.5688019,0.16064453,-19.59594775,54.00047325,-144.126739,10.097141729811957,0.6049617856421863,155.15348015114677,35.069749999999516,25.84630555555562
174800,174800.0,4.30159,-10.806198,1.7116547,-0.02973938,0.49424744,0.20645142,-17.265091249999998,54.169921499999994,-143.794324,11.756162365131578,0.5364579680546785,154.62642716219136,35.051499999999514,25.91216666666673
174900,174900.0,2.8818207,-11.556778,-2.0017548,-1.219635,-0.61576843,-0.885437,-18.70727555,55.8197022,-142.28873850000005,12.077708001419618,1.6280905913304289,153.98756739790292,35.03324999999951,25.978027777777843
175000,175000.0,-1.7485657,-11.274261,0.32900999999999997,-1.9291077,0.3152771,-0.5264435000000001,-23.79432705,59.38171305,-132.3847155,11.413793877735722,2.0243514829880582,147.03193569665763,35.01499999999951,26.043888888888954
175100,175100.0,1.81713024,-7.7157646249999985,0.65168686,-0.641201795,-0.1499221755,-0.8629081470000001,-27.03552255,60.5614473,-124.96162425,7.954701128095605,1.087378083745596,141.47131979912862,34.996749999999516,26.109750000000066
175200,175200.0,0.417948149,-7.62790151,-1.60359038,0.3924735975,-1.023010283,-0.4135276795,-30.92979455,61.01173405,-123.984527,7.806583146942081,1.1724094932886202,141.60245805713743,34.978499999999514,26.175611111111174
175300,175300.0,1.5277862830000002,-8.06155555,-2.921893325,0.4245483395,-0.589084611,-0.32835998250000004,-32.93777395,61.00814825,-125.97358725,8.711452983480918,0.8004712533665455,143.7924226339968,34.960249999999505,26.24147222222229
175400,175400.0,2.79455721,-9.3343117,-2.730059015,0.475242606,-0.0496841432,0.4856689465,-32.4049384,61.35337835,-128.74824950000001,10.121317326031763,0.6847837014437986,146.25528662723374,34.9419999999995,26.307333333333396
175500,175500.0,3.409091938,-6.4351142700000015,-2.9981590280000003,0.2262908975,0.2586608885,-0.446223451,-32.524797050000004,61.27708345,-129.3894955,7.9436725560309736,0.5820839818428613,146.8141686301561,34.9237499999995,26.373194444444515
175600,175600.0,4.492519355,-12.4015793,-6.4744095,0.391045377,-0.8236572185,0.3553749061,-30.30929555,61.28364625,-133.8735945,14.699799171499533,1.046249026500758,150.32134877817256,34.9054999999995,26.439055555555626
175700,175700.0,-2.548583985,-8.63975305,1.1249595325,0.56084521,0.25332489150000004,0.5997985835,-28.550644199999997,61.184921200000005,-135.360108,9.154808204529237,0.873704258592745,151.26540689127134,34.8872499999995,26.50491666666673
175800,175800.0,0.8599243000000001,-9.012939,0.39724729999999997,0.85549927,0.4921112,-0.24841309,-26.730194,60.61965920000001,-138.63914599999998,9.062579358924742,1.0177236842185216,153.6556816672206,34.86899999999949,26.570777777777842
